Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
196,Timothy Fosu-Mensah,Manchester Utd,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
197,Gianluca Frabotta,Juventus ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
198,Lassina Franck Traoré,Ajax ,1,5,1,20,2.27,0.45,0.2,1,12.3,0,0,0,1.4,1.4,0.29,-0.4,-0.4
199,Fred,Manchester Utd,0,3,1,33.3,0.8,0.27,0,0,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
200,Remo Freuler,Atalanta ,0,4,1,25,0.71,0.18,0,0,21.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3
201,Abraham Frimpong,Ferencváros ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
202,Roberto Gagliardini,Inter ,0,2,0,0,0.71,0,0,,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
203,Idrissa Gana Gueye,Paris S-G,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
204,Eric García,Manchester City,0,2,1,50,0.87,0.43,0,0,7.5,0,0,0,0.6,0.6,0.31,-0.6,-0.6
205,Yuri Gazinskiy,Krasnodar ,0,2,0,0,0.48,0,0,,14.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
206,Yann Gboho,Rennes ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
207,David de Gea,Manchester Utd,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
208,Valère Germain,Marseille ,0,5,1,20,2.25,0.45,0,0,14.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4
209,Billy Gilmour,Chelsea ,0,2,1,50,1.87,0.94,0,0,27,0,0,0,0.1,0.1,0.03,-0.1,-0.1
210,Matthias Ginter,M'Gladbach ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
211,Olivier Giroud,Chelsea ,5,7,5,71.4,4.37,3.12,0.57,0.8,10.7,0,1,1,1.9,1.2,0.17,3.1,2.8
212,Serge Gnabry,Bayern Munich,0,11,4,36.4,3.67,1.33,0,0,17.9,0,0,0,1.1,1.1,0.1,-1.1,-1.1
213,Pierluigi Gollini,Atalanta ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
214,Eulânio Ângelo Chipela Gomes,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
215,Joe Gomez,Liverpool ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
216,Papu Gómez,Atalanta ,1,6,3,50,1.2,0.6,0.17,0.33,25.4,0,0,0,0.3,0.3,0.05,0.7,0.7
217,Sergi Gómez,Sevilla ,0,2,0,0,0.91,0,0,,28.2,0,0,0,0,0,0.01,0,0
218,Alfred Gomis,Rennes ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
219,Álvaro González,Marseille ,0,3,0,0,0.5,0,0,,11.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
220,Leon Goretzka,Bayern Munich,2,7,2,28.6,2.27,0.65,0.29,1,19.8,0,0,0,0.4,0.4,0.05,1.6,1.6
221,Yevgeni Gorodov,Krasnodar ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
222,Robin Gosens,Atalanta ,1,7,2,28.6,1.51,0.43,0.14,0.5,15.3,0,0,0,0.7,0.7,0.1,0.3,0.3
223,Ryan Gravenberch,Ajax ,1,6,1,16.7,1.02,0.17,0.17,1,21.5,0,0,0,0.4,0.4,0.07,0.6,0.6
224,Mason Greenwood,Manchester Utd,1,10,5,50,4.27,2.13,0.1,0.2,13.9,0,0,0,0.7,0.7,0.07,0.3,0.3
225,Clément Grenier,Rennes ,0,2,2,100,0.81,0.81,0,0,22.5,1,0,0,0.3,0.3,0.14,-0.3,-0.3
226,Antoine Griezmann,Barcelona ,2,11,4,36.4,3.04,1.1,0.18,0.5,11.9,0,0,0,1.7,1.7,0.16,0.3,0.3
227,Marko Gruji?,Porto ,0,3,0,0,1.5,0,0,,15,0,0,0,0.2,0.2,0.06,-0.2,-0.2
228,Nemanja Gudelj,Sevilla ,0,3,2,66.7,0.6,0.4,0,0,20.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
229,Raphaël Guerreiro,Dortmund ,1,5,2,40,1.1,0.44,0.2,0.5,16.7,1,0,0,1.2,1.2,0.25,-0.2,-0.2
230,Pape Gueye,Marseille ,0,2,1,50,1.06,0.53,0,0,15.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
231,Sehrou Guirassy,Rennes ,2,6,3,50,1.59,0.79,0.17,0.33,9.9,0,1,1,1.7,1,0.16,0.3,0
232,Péter Gulácsi,RB Leipzig,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
233,Fredrik Gulbrandsen,Ba?ak?ehir ,0,3,1,33.3,1.33,0.44,0,0,17.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3
234,?lkay Gündo?an,Manchester City,2,8,3,37.5,1.98,0.74,0.25,0.67,17,1,0,0,0.9,0.9,0.11,1.1,1.1
235,Mert Günok,Ba?ak?ehir ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
236,Munir El Haddadi,Sevilla ,1,14,2,14.3,4.88,0.7,0.07,0.5,16.4,0,0,0,1,1,0.08,0,0
237,Amadou Haidara,RB Leipzig,1,7,4,57.1,1.83,1.05,0.14,0.25,14.9,0,0,0,1,1,0.15,0,0
238,Achraf Hakimi,Inter ,0,1,0,0,0.25,0,0,,12.8,0,0,0,0,0,0.04,0,0
239,Erling Håland,Dortmund ,6,20,11,55,5.25,2.89,0.3,0.55,13.7,0,0,0,4.1,4.1,0.22,1.9,1.9
